# Parámetros:  ./calcular_cdt 16 32 MER DES 10000
# Ejecutando orden:  ./gen_traza MER DES 10000
#
#         Posición       Intervalo        Páginas       Págs/op.
#
               0              32               2        0.062500
              32              32               2        0.062500
              64              32               2        0.062500
              96              32               2        0.062500
             128              32               2        0.062500
             160              32               2        0.062500
             192              32               2        0.062500
             224              32               2        0.062500
             256              32               2        0.062500
             288              32               2        0.062500
             320              32               2        0.062500
             352              32               2        0.062500
             384              32               2        0.062500
             416              32               2        0.062500
             448              32               2        0.062500
             480              32               2        0.062500
             512              32               2        0.062500
             544              32               2        0.062500
             576              32               2        0.062500
             608              32               2        0.062500
             640              32               2        0.062500
             672              32               2        0.062500
             704              32               2        0.062500
             736              32               2        0.062500
             768              32               2        0.062500
             800              32               2        0.062500
             832              32               2        0.062500
             864              32               2        0.062500
             896              32               2        0.062500
             928              32               2        0.062500
             960              32               2        0.062500
             992              32               2        0.062500
            1024              32               2        0.062500
            1056              32               2        0.062500
            1088              32               2        0.062500
            1120              32               2        0.062500
            1152              32               2        0.062500
            1184              32               2        0.062500
            1216              32               2        0.062500
            1248              32               2        0.062500
            1280              32               2        0.062500
            1312              32               2        0.062500
            1344              32               2        0.062500
            1376              32               2        0.062500
            1408              32               2        0.062500
            1440              32               2        0.062500
            1472              32               2        0.062500
            1504              32               2        0.062500
            1536              32               2        0.062500
            1568              32               2        0.062500
            1600              32               2        0.062500
            1632              32               2        0.062500
            1664              32               2        0.062500
            1696              32               2        0.062500
            1728              32               2        0.062500
            1760              32               2        0.062500
            1792              32               2        0.062500
            1824              32               2        0.062500
            1856              32               2        0.062500
            1888              32               2        0.062500
            1920              32               2        0.062500
            1952              32               2        0.062500
            1984              32               2        0.062500
            2016              32               2        0.062500
            2048              32               2        0.062500
            2080              32               2        0.062500
            2112              32               2        0.062500
            2144              32               2        0.062500
            2176              32               2        0.062500
            2208              32               2        0.062500
            2240              32               2        0.062500
            2272              32               2        0.062500
            2304              32               2        0.062500
            2336              32               2        0.062500
            2368              32               2        0.062500
            2400              32               2        0.062500
            2432              32               2        0.062500
            2464              32               2        0.062500
            2496              32               2        0.062500
            2528              32               2        0.062500
            2560              32               2        0.062500
            2592              32               2        0.062500
            2624              32               2        0.062500
            2656              32               2        0.062500
            2688              32               2        0.062500
            2720              32               2        0.062500
            2752              32               2        0.062500
            2784              32               2        0.062500
            2816              32               2        0.062500
            2848              32               2        0.062500
            2880              32               2        0.062500
