# Parámetros:  ./calcular_cdt 16 2000 BUB ALE 1000
# Ejecutando orden:  ./gen_traza BUB ALE 1000
#
#         Posición       Intervalo        Páginas       Págs/op.
#
               0            2000              42        0.021000
            2000            2000              44        0.022000
            4000            2000              44        0.022000
            6000            2000              43        0.021500
            8000            2000              45        0.022500
           10000            2000              44        0.022000
           12000            2000              43        0.021500
           14000            2000              45        0.022500
           16000            2000              44        0.022000
           18000            2000              43        0.021500
           20000            2000              45        0.022500
           22000            2000              46        0.023000
           24000            2000              43        0.021500
           26000            2000              44        0.022000
           28000            2000              45        0.022500
           30000            2000              44        0.022000
           32000            2000              45        0.022500
           34000            2000              44        0.022000
           36000            2000              45        0.022500
           38000            2000              44        0.022000
           40000            2000              45        0.022500
           42000            2000              46        0.023000
           44000            2000              44        0.022000
           46000            2000              45        0.022500
           48000            2000              46        0.023000
           50000            2000              45        0.022500
           52000            2000              45        0.022500
           54000            2000              46        0.023000
           56000            2000              46        0.023000
           58000            2000              44        0.022000
           60000            2000              46        0.023000
           62000            2000              47        0.023500
           64000            2000              46        0.023000
           66000            2000              44        0.022000
           68000            2000              47        0.023500
           70000            2000              46        0.023000
           72000            2000              44        0.022000
           74000            2000              47        0.023500
           76000            2000              46        0.023000
           78000            2000              47        0.023500
           80000            2000              44        0.022000
           82000            2000              47        0.023500
           84000            2000              46        0.023000
           86000            2000              47        0.023500
           88000            2000              45        0.022500
           90000            2000              47        0.023500
           92000            2000              47        0.023500
           94000            2000              47        0.023500
           96000            2000              45        0.022500
           98000            2000              48        0.024000
          100000            2000              47        0.023500
          102000            2000              47        0.023500
          104000            2000              45        0.022500
          106000            2000              49        0.024500
          108000            2000              47        0.023500
          110000            2000              48        0.024000
          112000            2000              45        0.022500
          114000            2000              48        0.024000
          116000            2000              47        0.023500
          118000            2000              47        0.023500
          120000            2000              45        0.022500
          122000            2000              48        0.024000
          124000            2000              48        0.024000
          126000            2000              48        0.024000
          128000            2000              46        0.023000
          130000            2000              47        0.023500
          132000            2000              49        0.024500
          134000            2000              48        0.024000
          136000            2000              48        0.024000
          138000            2000              46        0.023000
          140000            2000              49        0.024500
          142000            2000              49        0.024500
          144000            2000              49        0.024500
          146000            2000              48        0.024000
          148000            2000              46        0.023000
          150000            2000              50        0.025000
          152000            2000              49        0.024500
          154000            2000              49        0.024500
          156000            2000              48        0.024000
          158000            2000              46        0.023000
          160000            2000              50        0.025000
          162000            2000              49        0.024500
          164000            2000              49        0.024500
          166000            2000              48        0.024000
          168000            2000              47        0.023500
          170000            2000              50        0.025000
          172000            2000              50        0.025000
          174000            2000              50        0.025000
          176000            2000              49        0.024500
          178000            2000              47        0.023500
          180000            2000              50        0.025000
          182000            2000              50        0.025000
          184000            2000              51        0.025500
          186000            2000              50        0.025000
          188000            2000              50        0.025000
          190000            2000              47        0.023500
          192000            2000              51        0.025500
          194000            2000              50        0.025000
          196000            2000              50        0.025000
          198000            2000              50        0.025000
          200000            2000              49        0.024500
          202000            2000              47        0.023500
          204000            2000              51        0.025500
          206000            2000              50        0.025000
          208000            2000              50        0.025000
          210000            2000              51        0.025500
          212000            2000              50        0.025000
          214000            2000              48        0.024000
          216000            2000              50        0.025000
          218000            2000              51        0.025500
          220000            2000              51        0.025500
          222000            2000              52        0.026000
          224000            2000              51        0.025500
          226000            2000              51        0.025500
          228000            2000              50        0.025000
          230000            2000              50        0.025000
          232000            2000              51        0.025500
          234000            2000              51        0.025500
          236000            2000              51        0.025500
          238000            2000              51        0.025500
          240000            2000              52        0.026000
          242000            2000              50        0.025000
          244000            2000              50        0.025000
          246000            2000              51        0.025500
          248000            2000              52        0.026000
          250000            2000              52        0.026000
