# Parámetros:  ./calcular_cdt 16 2000 COM ALE 1000
# Ejecutando orden:  ./gen_traza COM ALE 1000
#
#         Posición       Intervalo        Páginas       Págs/op.
#
               0            2000              60        0.030000
            2000            2000              56        0.028000
            4000            2000              42        0.021000
            6000            2000              39        0.019500
            8000            2000              35        0.017500
           10000            2000              38        0.019000
           12000            2000              44        0.022000
           14000            2000              51        0.025500
           16000            2000              52        0.026000
           18000            2000              44        0.022000
           20000            2000              33        0.016500
           22000            2000              32        0.016000
           24000            2000              44        0.022000
           26000            2000              53        0.026500
           28000            2000              47        0.023500
           30000            2000              39        0.019500
           32000            2000              28        0.014000
           34000            2000              36        0.018000
           36000            2000              46        0.023000
           38000            2000              33        0.016500
           40000            1830              29        0.015847
