# Parámetros:  ./calcular_cdt 16 2000 HEA ALE 1000
# Ejecutando orden:  ./gen_traza HEA ALE 1000
#
#         Posición       Intervalo        Páginas       Págs/op.
#
               0            2000              51        0.025500
            2000            2000              61        0.030500
            4000            2000              60        0.030000
            6000            2000              60        0.030000
            8000            2000              56        0.028000
           10000            2000              52        0.026000
           12000            2000              49        0.024500
           14000            2000              44        0.022000
           16000            2000              40        0.020000
           18000            2000              35        0.017500
           20000            2000              32        0.016000
           22000            2000              28        0.014000
           24000            2000              23        0.011500
           26000            2000              19        0.009500
           28000            2000              14        0.007000
           30000            2000               9        0.004500
           32000             673               3        0.004458
