# Parámetros:  ./calcular_cdt 16 2000 INS ALE 1000
# Ejecutando orden:  ./gen_traza INS ALE 1000
#
#         Posición       Intervalo        Páginas       Págs/op.
#
               0            2000               4        0.002000
            2000            2000               6        0.003000
            4000            2000               7        0.003500
            6000            2000               8        0.004000
            8000            2000               9        0.004500
           10000            2000              10        0.005000
           12000            2000              11        0.005500
           14000            2000              11        0.005500
           16000            2000              12        0.006000
           18000            2000              12        0.006000
           20000            2000              13        0.006500
           22000            2000              13        0.006500
           24000            2000              15        0.007500
           26000            2000              14        0.007000
           28000            2000              14        0.007000
           30000            2000              16        0.008000
           32000            2000              16        0.008000
           34000            2000              17        0.008500
           36000            2000              17        0.008500
           38000            2000              17        0.008500
           40000            2000              18        0.009000
           42000            2000              18        0.009000
           44000            2000              18        0.009000
           46000            2000              19        0.009500
           48000            2000              19        0.009500
           50000            2000              16        0.008000
           52000            2000              19        0.009500
           54000            2000              20        0.010000
           56000            2000              20        0.010000
           58000            2000              14        0.007000
           60000            2000              20        0.010000
           62000            2000              21        0.010500
           64000            2000              21        0.010500
           66000            2000              16        0.008000
           68000            2000              22        0.011000
           70000            2000              19        0.009500
           72000            2000              17        0.008500
           74000            2000              15        0.007500
           76000            2000              24        0.012000
           78000            2000              22        0.011000
           80000            2000              22        0.011000
           82000            2000              26        0.013000
           84000            2000              25        0.012500
           86000            2000              24        0.012000
           88000            2000              18        0.009000
           90000            2000              25        0.012500
           92000            2000              25        0.012500
           94000            2000              28        0.014000
           96000            2000              24        0.012000
           98000            2000              26        0.013000
          100000            2000              26        0.013000
          102000            2000              19        0.009500
          104000            2000              27        0.013500
          106000            2000              28        0.014000
          108000            2000              21        0.010500
          110000            2000              26        0.013000
          112000            2000              26        0.013000
          114000            2000              21        0.010500
          116000            2000              27        0.013500
          118000            2000              30        0.015000
          120000            2000              31        0.015500
          122000            2000              22        0.011000
          124000            2000              23        0.011500
          126000            2000              23        0.011500
          128000            2000              31        0.015500
          130000            2000              23        0.011500
          132000            2000              27        0.013500
          134000            2000              27        0.013500
          136000            2000              27        0.013500
          138000            2000              27        0.013500
          140000            2000              21        0.010500
          142000            2000              26        0.013000
          144000            2000              24        0.012000
          146000            2000              25        0.012500
          148000            2000              25        0.012500
          150000            2000              35        0.017500
          152000            2000              26        0.013000
          154000            2000              30        0.015000
          156000            2000              27        0.013500
          158000            2000              25        0.012500
          160000            2000              34        0.017000
          162000            2000              30        0.015000
          164000            2000              24        0.012000
          166000            2000              24        0.012000
          168000            2000              26        0.013000
          170000            2000              30        0.015000
          172000            2000              36        0.018000
          174000            2000              37        0.018500
          176000            2000              37        0.018500
          178000            2000              31        0.015500
          180000            2000              20        0.010000
          182000            2000              32        0.016000
          184000            2000              29        0.014500
          186000            2000              29        0.014500
          188000            2000              31        0.015500
          190000            2000              29        0.014500
          192000            2000              30        0.015000
          194000            2000              24        0.012000
          196000            2000              39        0.019500
          198000            2000              36        0.018000
          200000            2000              37        0.018500
          202000            2000              37        0.018500
          204000            2000              34        0.017000
          206000            2000              26        0.013000
