# Parámetros:  ./calcular_cdt 16 2000 MER ALE 1000
# Ejecutando orden:  ./gen_traza MER ALE 1000
#
#         Posición       Intervalo        Páginas       Págs/op.
#
               0            2000             125        0.062500
            2000            2000              21        0.010500
            4000            2000              33        0.016500
            6000            2000              21        0.010500
            8000            2000              36        0.018000
           10000            2000              75        0.037500
           12000            2000              33        0.016500
           14000            2000              45        0.022500
           16000            2000              33        0.016500
           18000            2000              67        0.033500
           20000            1952             124        0.063525
