# Parámetros:  ./calcular_cdt 16 2000 SEL ALE 1000
# Ejecutando orden:  ./gen_traza SEL ALE 1000
#
#         Posición       Intervalo        Páginas       Págs/op.
#
               0            2000              63        0.031500
            2000            2000              63        0.031500
            4000            2000              63        0.031500
            6000            2000              63        0.031500
            8000            2000              63        0.031500
           10000            2000              63        0.031500
           12000            2000              63        0.031500
           14000            2000              63        0.031500
           16000            2000              62        0.031000
           18000            2000              62        0.031000
           20000            2000              62        0.031000
           22000            2000              62        0.031000
           24000            2000              62        0.031000
           26000            2000              62        0.031000
           28000            2000              62        0.031000
           30000            2000              62        0.031000
           32000            2000              61        0.030500
           34000            2000              61        0.030500
           36000            2000              61        0.030500
           38000            2000              61        0.030500
           40000            2000              61        0.030500
           42000            2000              61        0.030500
           44000            2000              61        0.030500
           46000            2000              61        0.030500
           48000            2000              60        0.030000
           50000            2000              60        0.030000
           52000            2000              60        0.030000
           54000            2000              60        0.030000
           56000            2000              60        0.030000
           58000            2000              60        0.030000
           60000            2000              60        0.030000
           62000            2000              60        0.030000
           64000            2000              59        0.029500
           66000            2000              59        0.029500
           68000            2000              59        0.029500
           70000            2000              59        0.029500
           72000            2000              59        0.029500
           74000            2000              59        0.029500
           76000            2000              59        0.029500
           78000            2000              58        0.029000
           80000            2000              58        0.029000
           82000            2000              58        0.029000
           84000            2000              58        0.029000
           86000            2000              58        0.029000
           88000            2000              58        0.029000
           90000            2000              58        0.029000
           92000            2000              57        0.028500
           94000            2000              57        0.028500
           96000            2000              57        0.028500
           98000            2000              57        0.028500
          100000            2000              57        0.028500
          102000            2000              57        0.028500
          104000            2000              57        0.028500
          106000            2000              57        0.028500
          108000            2000              56        0.028000
          110000            2000              56        0.028000
          112000            2000              56        0.028000
          114000            2000              56        0.028000
          116000            2000              56        0.028000
          118000            2000              56        0.028000
          120000            2000              56        0.028000
          122000            2000              55        0.027500
          124000            2000              55        0.027500
          126000            2000              55        0.027500
          128000            2000              55        0.027500
          130000            2000              55        0.027500
          132000            2000              55        0.027500
          134000            2000              54        0.027000
          136000            2000              54        0.027000
          138000            2000              54        0.027000
          140000            2000              54        0.027000
          142000            2000              54        0.027000
          144000            2000              54        0.027000
          146000            2000              54        0.027000
          148000            2000              53        0.026500
          150000            2000              53        0.026500
          152000            2000              53        0.026500
          154000            2000              53        0.026500
          156000            2000              53        0.026500
          158000            2000              53        0.026500
          160000            2000              53        0.026500
          162000            2000              52        0.026000
          164000            2000              52        0.026000
          166000            2000              52        0.026000
          168000            2000              52        0.026000
          170000            2000              52        0.026000
          172000            2000              52        0.026000
          174000            2000              52        0.026000
          176000            2000              51        0.025500
          178000            2000              51        0.025500
          180000            2000              51        0.025500
          182000            2000              51        0.025500
          184000            2000              51        0.025500
          186000            2000              51        0.025500
          188000            2000              50        0.025000
          190000            2000              50        0.025000
          192000            2000              50        0.025000
          194000            2000              50        0.025000
          196000            2000              50        0.025000
          198000            2000              50        0.025000
          200000            2000              49        0.024500
          202000            2000              49        0.024500
          204000            2000              49        0.024500
          206000            2000              49        0.024500
          208000            2000              49        0.024500
          210000            2000              49        0.024500
          212000            2000              48        0.024000
          214000            2000              48        0.024000
          216000            2000              48        0.024000
          218000            2000              48        0.024000
          220000            2000              48        0.024000
          222000            2000              48        0.024000
          224000            2000              47        0.023500
          226000            2000              47        0.023500
          228000            2000              47        0.023500
          230000            2000              47        0.023500
          232000            2000              47        0.023500
          234000            2000              47        0.023500
          236000            2000              46        0.023000
          238000            2000              46        0.023000
          240000            2000              46        0.023000
          242000            2000              46        0.023000
          244000            2000              46        0.023000
          246000            2000              46        0.023000
          248000            2000              45        0.022500
          250000            2000              45        0.022500
          252000            2000              45        0.022500
          254000            2000              45        0.022500
          256000            2000              45        0.022500
          258000            2000              45        0.022500
          260000            2000              44        0.022000
          262000            2000              44        0.022000
          264000            2000              44        0.022000
